CODE;ISSUER_SHARE;ACQUIRER_SHARE;ACTIVATED;CREATED_BY;CREATED_DATE
004;2.50;3.50;1;system;2021-07-29 00:00:00
005;2.50;0.00;1;system;2021-07-29 00:00:00
010;2.00;2.00;1;system;2021-07-29 00:00:00
012;2.50;5.50;1;system;2021-07-29 00:00:00
013;2.50;3.50;1;system;2021-07-29 00:00:00
014;2.50;3.50;1;system;2021-07-29 00:00:00
017;2.50;3.50;1;system;2021-07-29 00:00:00
021;2.50;4.50;1;system;2021-07-29 00:00:00
023;2.00;3.00;1;system;2021-07-29 00:00:00
027;2.50;5.50;1;system;2021-07-29 00:00:00
031;2.50;4.50;1;system;2021-07-29 00:00:00
032;2.50;3.50;1;system;2021-07-29 00:00:00
033;2.50;3.50;1;system;2021-07-29 00:00:00
035;2.50;3.50;1;system;2021-07-29 00:00:00
040;2.50;3.50;1;system;2021-07-29 00:00:00
046;2.50;5.50;1;system;2021-07-29 00:00:00
050;2.50;3.50;1;system;2021-07-29 00:00:00
056;2.50;5.50;1;system;2021-07-29 00:00:00
059;2.50;3.50;1;system;2021-07-29 00:00:00
060;2.50;5.50;1;system;2021-07-29 00:00:00
061;2.50;3.50;1;system;2021-07-29 00:00:00
069;2.00;2.00;1;system;2021-07-29 00:00:00
078;2.00;3.00;1;system;2021-07-29 00:00:00
081;2.50;4.50;1;system;2021-07-29 00:00:00
082;2.50;5.50;1;system;2021-07-29 00:00:00
085;2.00;3.00;1;system;2021-07-29 00:00:00
087;2.50;3.50;1;system;2021-07-29 00:00:00
090;2.50;3.50;1;system;2021-07-29 00:00:00
096;0.00;0.00;1;system;2021-07-29 00:00:00
113;2.00;2.00;1;system;2021-07-29 00:00:00
119;2.50;5.50;1;system;2021-07-29 00:00:00
120;2.50;3.50;1;system;2021-07-29 00:00:00
132;2.00;2.00;1;system;2021-07-29 00:00:00
135;2.50;3.50;1;system;2021-07-29 00:00:00
935;2.50;3.50;1;system;2021-07-29 00:00:00
956;2.50;5.50;1;system;2021-07-29 00:00:00
981;2.50;4.50;1;system;2021-07-29 00:00:00
